symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2018-10-05 00:00:00+00:00,149.03,151.79,147.87,150.9,4602252,114.2195744033,116.3348936367,113.3305271892,115.6527798259,4813955,0.0,1.0
IBM,2018-10-08 00:00:00+00:00,148.39,149.07,147.18,148.5,3239347,113.7290655955,114.2502312038,112.8016973809,113.8133717969,3388356,0.0,1.0
IBM,2018-10-09 00:00:00+00:00,147.24,148.36,146.93,148.08,3642496,112.8476825816,113.7060729952,112.6100923779,113.4914753918,3810050,0.0,1.0
IBM,2018-10-10 00:00:00+00:00,142.69,147.69,142.5,147.5,5547697,109.3604715266,113.1925715871,109.2148517243,113.0469517848,5802891,0.0,1.0
IBM,2018-10-11 00:00:00+00:00,139.02,144.19,138.78,142.62,8710491,106.5477100822,110.5101015447,106.3637692793,109.3068221257,9111173,0.0,1.0
IBM,2018-10-12 00:00:00+00:00,140.85,141.54,139.08,141.12,6563403,107.9502587043,108.4790885126,106.5936952829,108.1571921076,6865319,0.0,1.0
IBM,2018-10-15 00:00:00+00:00,141.13,142.26,140.14,140.38,4965533,108.1648563077,109.0309109214,107.4061004957,107.5900412986,5193947,0.0,1.0
IBM,2018-10-16 00:00:00+00:00,145.12,145.45,141.58,142.93,8695489,111.222872156,111.47579076,108.5097453131,109.5444123295,9095481,0.0,1.0
IBM,2018-10-17 00:00:00+00:00,134.05,137.15,133.42,135.89,19464000,102.738602622,105.1145046595,102.2557580144,104.1488154443,20359344,0.0,1.0
IBM,2018-10-18 00:00:00+00:00,130.55,133.4,130.04,132.73,10011678,100.0561325797,102.2404296142,99.6652583735,101.726928206,10472215,0.0,1.0
IBM,2018-10-19 00:00:00+00:00,129.1,131.89,127.96,130.65,7791636,98.9448235621,101.0831353959,98.0711047483,100.1327745809,8150051,0.0,1.0
IBM,2018-10-22 00:00:00+00:00,130.02,130.44,128.4,129.58,5719518,99.6499299733,99.9718263783,98.4083295537,99.3127051679,5982615,0.0,1.0
IBM,2018-10-23 00:00:00+00:00,131.21,131.9,128.41,129.02,6463580,100.5619697877,101.090799596,98.4159937538,98.8835099612,6760904,0.0,1.0
IBM,2018-10-24 00:00:00+00:00,127.21,131.69,127.0,131.17,5710320,97.4962897393,100.9298513935,97.3353415367,100.5313129872,5972994,0.0,1.0
IBM,2018-10-25 00:00:00+00:00,126.45,127.79,125.14,127.25,10304327,96.9138105301,97.9408133463,95.9098003142,97.5269465397,10778326,0.0,1.0
IBM,2018-10-26 00:00:00+00:00,124.79,125.78,123.71,125.21,8767029,95.64155331,96.400309122,94.8138196969,95.9634497151,9170312,0.0,1.0
IBM,2018-10-29 00:00:00+00:00,119.64,123.95,118.3,119.34,20450448,91.6944902477,94.9977604998,90.6674874314,91.464564244,21391168,0.0,1.0
IBM,2018-10-30 00:00:00+00:00,115.4,121.5,115.15,120.48,21458594,88.4448693964,93.1200314702,88.2532643933,92.3382830578,22445689,0.0,1.0
IBM,2018-10-31 00:00:00+00:00,115.43,116.5,114.09,116.49,21644978,88.4678619967,89.2879314097,87.4408591805,89.2802672095,22640646,0.0,1.0
IBM,2018-11-01 00:00:00+00:00,116.83,117.0,115.11,115.5,13626730,89.5408500137,89.6711414157,88.2226075928,88.5215113976,14253559,0.0,1.0
IBM,2018-11-02 00:00:00+00:00,115.67,117.75,114.54,117.51,10592681,88.6518027996,90.2459564248,87.7857481859,90.0620156219,11079944,0.0,1.0
IBM,2018-11-05 00:00:00+00:00,120.06,120.77,116.0,116.1,9144598,92.0163866527,92.5605448613,88.9047214036,88.9813634048,9565249,0.0,1.0
IBM,2018-11-06 00:00:00+00:00,123.12,123.81,120.31,120.7,9597392,94.3616318898,94.8904616981,92.2079916558,92.5068954605,10038872,0.0,1.0
IBM,2018-11-07 00:00:00+00:00,124.84,125.06,122.33,123.79,12382666,95.6798743106,95.8484867132,93.7561600802,94.8751332979,12952268,0.0,1.0
IBM,2018-11-08 00:00:00+00:00,123.38,124.4,122.63,122.66,10396439,95.7641805119,96.5558766063,95.1820510308,95.20533621,10874675,1.57,1.0
IBM,2018-11-09 00:00:00+00:00,123.54,124.57,121.96,123.61,6961902,95.8883681346,96.6878259553,94.6620153609,95.9427002195,7282149,0.0,1.0
IBM,2018-11-12 00:00:00+00:00,120.9,123.57,120.65,123.5,5379113,93.8392723609,95.9116533138,93.6452292005,95.8573212289,5626552,0.0,1.0
IBM,2018-11-13 00:00:00+00:00,120.84,122.25,119.9,121.19,4084385,93.7927020024,94.887105427,93.0630997194,94.064362427,4272266,0.0,1.0
IBM,2018-11-14 00:00:00+00:00,120.2,121.93,119.77,121.11,4762275,93.2959515118,94.6387301817,92.962197276,94.0022686156,4981339,0.0,1.0
IBM,2018-11-15 00:00:00+00:00,121.44,121.44,119.51,119.66,5207973,94.2584055873,94.2584055873,92.7603923892,92.8768182854,5447539,0.0,1.0
IBM,2018-11-16 00:00:00+00:00,121.57,121.85,120.54,120.89,4076315,94.3593080307,94.5766363704,93.55985021,93.8315106345,4263825,0.0,1.0
IBM,2018-11-19 00:00:00+00:00,120.31,122.18,119.77,121.63,4131238,93.3813305024,94.8327733421,92.962197276,94.4058783892,4321274,0.0,1.0
IBM,2018-11-20 00:00:00+00:00,117.2,119.49,116.7,118.49,6233777,90.9674335873,92.7448689364,90.5793472665,91.9686962948,6520530,0.0,1.0
IBM,2018-11-21 00:00:00+00:00,118.57,119.51,117.39,117.61,5335842,92.0307901062,92.7603923892,91.1149063891,91.2856643703,5581290,0.0,1.0
IBM,2018-11-23 00:00:00+00:00,117.19,118.3382,116.91,118.09,2334730,90.9596718608,91.8508732878,90.7423435212,91.6582272382,2442127,0.0,1.0
